,season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
0,1990,1,phoenix,senna,1960-03-21,Brazilian,mclaren,5,6752829.0,Finished,9.0,1
1,1990,1,phoenix,alesi,1964-06-11,French,tyrrell,4,6761514.0,Finished,6.0,2
2,1990,1,phoenix,boutsen,1957-07-13,Belgian,williams,9,6806909.0,Finished,4.0,3
3,1990,1,phoenix,piquet,1952-08-17,Brazilian,benetton,6,6821187.0,Finished,3.0,4
4,1990,1,phoenix,modena,1963-05-12,Italian,brabham,10,6822332.0,Finished,2.0,5
5,1990,1,phoenix,satoru_nakajima,1953-02-23,Japanese,tyrrell,11,,+1 Lap,1.0,6
6,1990,1,phoenix,martini,1961-04-23,Italian,minardi,2,,+1 Lap,0.0,7
7,1990,1,phoenix,bernard,1964-08-24,French,larrousse,15,,+1 Lap,0.0,8
8,1990,1,phoenix,patrese,1954-04-17,Italian,williams,12,,+1 Lap,0.0,9
9,1990,1,phoenix,alboreto,1956-12-23,Italian,arrows,21,,+2 Laps,0.0,10
10,1990,1,phoenix,nannini,1959-07-07,Italian,benetton,22,,+2 Laps,0.0,11
11,1990,1,phoenix,schneider,1964-07-20,German,arrows,20,,+2 Laps,0.0,12
12,1990,1,phoenix,moreno,1959-02-11,Brazilian,eurobrun,16,,+5 Laps,0.0,13
13,1990,1,phoenix,gugelmin,1963-04-20,Brazilian,leyton,25,,+6 Laps,0.0,14
14,1990,1,phoenix,barilla,1961-04-20,Italian,minardi,14,,Physical,0.0,15
15,1990,1,phoenix,suzuki,1960-09-08,Japanese,larrousse,18,,Brakes,0.0,16
16,1990,1,phoenix,mansell,1953-08-08,British,ferrari,17,,Clutch,0.0,17
17,1990,1,phoenix,berger,1959-08-27,Austrian,mclaren,1,,Clutch,0.0,18
18,1990,1,phoenix,foitek,1965-03-27,Swiss,brabham,23,,Accident,0.0,19
19,1990,1,phoenix,grouillard,1958-09-02,French,osella,8,,Collision,0.0,20
20,1990,1,phoenix,cesaris,1959-05-31,Italian,dallara,3,,Engine,0.0,21
21,1990,1,phoenix,prost,1955-02-24,French,ferrari,7,,Oil leak,0.0,22
22,1990,1,phoenix,capelli,1963-05-24,Italian,leyton,26,,Electrical,0.0,23
23,1990,1,phoenix,warwick,1954-08-27,British,team_lotus,24,,Gearbox,0.0,24
24,1990,1,phoenix,larini,1964-03-19,Italian,ligier,13,,Throttle,0.0,25
25,1990,1,phoenix,donnelly,1964-03-26,British,team_lotus,19,,Gearbox,0.0,26
26,1990,1,phoenix,alliot,1954-07-27,French,ligier,0,,Disqualified,0.0,27
27,1990,1,phoenix,johansson,1956-09-08,Swedish,onyx,0,,Did not qualify,0.0,28
28,1990,1,phoenix,morbidelli,1968-01-13,Italian,dallara,0,,Did not qualify,0.0,29
29,1990,1,phoenix,lehto,1966-01-31,Finnish,onyx,0,,Did not qualify,0.0,30
30,1990,2,interlagos,prost,1955-02-24,French,ferrari,6,5841258.0,Finished,9.0,1
31,1990,2,interlagos,berger,1959-08-27,Austrian,mclaren,2,5854822.0,Finished,6.0,2
32,1990,2,interlagos,senna,1960-03-21,Brazilian,mclaren,1,5878980.0,Finished,4.0,3
33,1990,2,interlagos,mansell,1953-08-08,British,ferrari,5,5888524.0,Finished,3.0,4
34,1990,2,interlagos,boutsen,1957-07-13,Belgian,williams,3,,+1 Lap,2.0,5
35,1990,2,interlagos,piquet,1952-08-17,Brazilian,benetton,13,,+1 Lap,1.0,6
36,1990,2,interlagos,alesi,1964-06-11,French,tyrrell,7,,+1 Lap,0.0,7
37,1990,2,interlagos,satoru_nakajima,1953-02-23,Japanese,tyrrell,19,,+1 Lap,0.0,8
38,1990,2,interlagos,martini,1961-04-23,Italian,minardi,8,,+2 Laps,0.0,9
39,1990,2,interlagos,nannini,1959-07-07,Italian,benetton,15,,Puncture,0.0,10
40,1990,2,interlagos,larini,1964-03-19,Italian,ligier,20,,+3 Laps,0.0,11
41,1990,2,interlagos,alliot,1954-07-27,French,ligier,10,,+3 Laps,0.0,12
42,1990,2,interlagos,patrese,1954-04-17,Italian,williams,4,,Oil pressure,0.0,13
43,1990,2,interlagos,morbidelli,1968-01-13,Italian,dallara,16,,+7 Laps,0.0,14
44,1990,2,interlagos,caffi,1964-03-18,Italian,arrows,25,,Clutch,0.0,15
45,1990,2,interlagos,donnelly,1964-03-26,British,team_lotus,14,,Spun off,0.0,16
46,1990,2,interlagos,modena,1963-05-12,Italian,brabham,12,,Spun off,0.0,17
47,1990,2,interlagos,barilla,1961-04-20,Italian,minardi,17,,Engine,0.0,18
48,1990,2,interlagos,dalmas,1961-07-28,French,ags,26,,Suspension,0.0,19
49,1990,2,interlagos,warwick,1954-08-27,British,team_lotus,24,,Electrical,0.0,20
50,1990,2,interlagos,suzuki,1960-09-08,Japanese,larrousse,18,,Suspension,0.0,21
51,1990,2,interlagos,alboreto,1956-12-23,Italian,arrows,23,,Suspension,0.0,22
52,1990,2,interlagos,foitek,1965-03-27,Swiss,brabham,22,,Transmission,0.0,23
53,1990,2,interlagos,bernard,1964-08-24,French,larrousse,11,,Gearbox,0.0,24
54,1990,2,interlagos,grouillard,1958-09-02,French,osella,21,,Collision,0.0,25
55,1990,2,interlagos,cesaris,1959-05-31,Italian,dallara,9,,Collision,0.0,26
56,1990,2,interlagos,johansson,1956-09-08,Swedish,onyx,0,,Did not qualify,0.0,27
57,1990,2,interlagos,lehto,1966-01-31,Finnish,onyx,0,,Did not qualify,0.0,28
58,1990,2,interlagos,capelli,1963-05-24,Italian,leyton,0,,Did not qualify,0.0,29
59,1990,2,interlagos,gugelmin,1963-04-20,Brazilian,leyton,0,,Did not qualify,0.0,30
60,1990,3,imola,patrese,1954-04-17,Italian,williams,3,5455478.0,Finished,9.0,1
61,1990,3,imola,berger,1959-08-27,Austrian,mclaren,2,5460595.0,Finished,6.0,2
62,1990,3,imola,nannini,1959-07-07,Italian,benetton,9,5461718.0,Finished,4.0,3
63,1990,3,imola,prost,1955-02-24,French,ferrari,6,5462321.0,Finished,3.0,4
64,1990,3,imola,piquet,1952-08-17,Brazilian,benetton,8,5508590.0,Finished,2.0,5
65,1990,3,imola,alesi,1964-06-11,French,tyrrell,7,,+1 Lap,1.0,6
66,1990,3,imola,warwick,1954-08-27,British,team_lotus,10,,+1 Lap,0.0,7
67,1990,3,imola,donnelly,1964-03-26,British,team_lotus,11,,+1 Lap,0.0,8
68,1990,3,imola,alliot,1954-07-27,French,ligier,16,,+1 Lap,0.0,9
69,1990,3,imola,larini,1964-03-19,Italian,ligier,20,,+2 Laps,0.0,10
70,1990,3,imola,barilla,1961-04-20,Italian,minardi,26,,+2 Laps,0.0,11
71,1990,3,imola,lehto,1966-01-31,Finnish,onyx,25,,+2 Laps,0.0,12
72,1990,3,imola,bernard,1964-08-24,French,larrousse,13,,Clutch,0.0,13
73,1990,3,imola,grouillard,1958-09-02,French,osella,22,,Wheel,0.0,14
74,1990,3,imola,mansell,1953-08-08,British,ferrari,5,,Engine,0.0,15
75,1990,3,imola,foitek,1965-03-27,Swiss,onyx,23,,Engine,0.0,16
76,1990,3,imola,modena,1963-05-12,Italian,brabham,14,,Brakes,0.0,17
77,1990,3,imola,cesaris,1959-05-31,Italian,dallara,17,,Wheel,0.0,18
78,1990,3,imola,gugelmin,1963-04-20,Brazilian,leyton,12,,Electrical,0.0,19
79,1990,3,imola,boutsen,1957-07-13,Belgian,williams,4,,Engine,0.0,20
80,1990,3,imola,suzuki,1960-09-08,Japanese,larrousse,15,,Clutch,0.0,21
81,1990,3,imola,senna,1960-03-21,Brazilian,mclaren,1,,Wheel,0.0,22
82,1990,3,imola,pirro,1962-01-12,Italian,dallara,21,,Spun off,0.0,23
83,1990,3,imola,capelli,1963-05-24,Italian,leyton,18,,Collision,0.0,24
84,1990,3,imola,satoru_nakajima,1953-02-23,Japanese,tyrrell,19,,Collision,0.0,25
85,1990,3,imola,moreno,1959-02-11,Brazilian,eurobrun,24,,Throttle,0.0,26
86,1990,3,imola,martini,1961-04-23,Italian,minardi,0,,Accident,0.0,27
87,1990,3,imola,caffi,1964-03-18,Italian,arrows,0,,Did not qualify,0.0,28
88,1990,3,imola,alboreto,1956-12-23,Italian,arrows,0,,Did not qualify,0.0,29
89,1990,3,imola,brabham,1965-09-05,Australian,brabham,0,,Did not qualify,0.0,30
90,1990,4,monaco,senna,1960-03-21,Brazilian,mclaren,1,6766982.0,Finished,9.0,1
91,1990,4,monaco,alesi,1964-06-11,French,tyrrell,3,6768069.0,Finished,6.0,2
92,1990,4,monaco,berger,1959-08-27,Austrian,mclaren,5,6769055.0,Finished,4.0,3
93,1990,4,monaco,boutsen,1957-07-13,Belgian,williams,6,,+1 Lap,3.0,4
94,1990,4,monaco,caffi,1964-03-18,Italian,arrows,22,,+2 Laps,2.0,5
95,1990,4,monaco,bernard,1964-08-24,French,larrousse,24,,+2 Laps,1.0,6
96,1990,4,monaco,foitek,1965-03-27,Swiss,onyx,20,,Collision,0.0,7
97,1990,4,monaco,warwick,1954-08-27,British,team_lotus,13,,Spun off,0.0,8
98,1990,4,monaco,mansell,1953-08-08,British,ferrari,7,,Battery,0.0,9
99,1990,4,monaco,barilla,1961-04-20,Italian,minardi,19,,Gearbox,0.0,10
100,1990,4,monaco,lehto,1966-01-31,Finnish,onyx,26,,Gearbox,0.0,11
101,1990,4,monaco,alliot,1954-07-27,French,ligier,18,,Gearbox,0.0,12
102,1990,4,monaco,patrese,1954-04-17,Italian,williams,4,,Distributor,0.0,13
103,1990,4,monaco,cesaris,1959-05-31,Italian,dallara,12,,Engine,0.0,14
104,1990,4,monaco,satoru_nakajima,1953-02-23,Japanese,tyrrell,21,,Spun off,0.0,15
105,1990,4,monaco,prost,1955-02-24,French,ferrari,2,,Battery,0.0,16
106,1990,4,monaco,nannini,1959-07-07,Italian,benetton,16,,Gearbox,0.0,17
107,1990,4,monaco,brabham,1965-09-05,Australian,brabham,25,,Transmission,0.0,18
108,1990,4,monaco,capelli,1963-05-24,Italian,leyton,23,,Brakes,0.0,19
109,1990,4,monaco,larini,1964-03-19,Italian,ligier,17,,Differential,0.0,20
110,1990,4,monaco,suzuki,1960-09-08,Japanese,larrousse,15,,Steering,0.0,21
111,1990,4,monaco,martini,1961-04-23,Italian,minardi,8,,Electrical,0.0,22
112,1990,4,monaco,donnelly,1964-03-26,British,team_lotus,11,,Gearbox,0.0,23
113,1990,4,monaco,modena,1963-05-12,Italian,brabham,14,,Transmission,0.0,24
114,1990,4,monaco,pirro,1962-01-12,Italian,dallara,9,,Engine,0.0,25
115,1990,4,monaco,piquet,1952-08-17,Brazilian,benetton,10,,Disqualified,0.0,26
116,1990,4,monaco,alboreto,1956-12-23,Italian,arrows,0,,Did not qualify,0.0,27
117,1990,4,monaco,grouillard,1958-09-02,French,osella,0,,Did not qualify,0.0,28
118,1990,4,monaco,gugelmin,1963-04-20,Brazilian,leyton,0,,Did not qualify,0.0,29
119,1990,4,monaco,moreno,1959-02-11,Brazilian,eurobrun,0,,Did not qualify,0.0,30
120,1990,5,villeneuve,senna,1960-03-21,Brazilian,mclaren,1,6176400.0,Finished,9.0,1
121,1990,5,villeneuve,piquet,1952-08-17,Brazilian,benetton,5,6186897.0,Finished,6.0,2
122,1990,5,villeneuve,mansell,1953-08-08,British,ferrari,7,6189785.0,Finished,4.0,3
123,1990,5,villeneuve,berger,1959-08-27,Austrian,mclaren,2,6191254.0,Finished,3.0,4
124,1990,5,villeneuve,prost,1955-02-24,French,ferrari,3,6192220.0,Finished,2.0,5
125,1990,5,villeneuve,warwick,1954-08-27,British,team_lotus,11,,+2 Laps,1.0,6
126,1990,5,villeneuve,modena,1963-05-12,Italian,brabham,10,,+2 Laps,0.0,7
127,1990,5,villeneuve,caffi,1964-03-18,Italian,arrows,26,,+2 Laps,0.0,8
128,1990,5,villeneuve,bernard,1964-08-24,French,larrousse,23,,+3 Laps,0.0,9
129,1990,5,villeneuve,capelli,1963-05-24,Italian,leyton,24,,+3 Laps,0.0,10
130,1990,5,villeneuve,satoru_nakajima,1953-02-23,Japanese,tyrrell,13,,+3 Laps,0.0,11
131,1990,5,villeneuve,suzuki,1960-09-08,Japanese,larrousse,18,,+4 Laps,0.0,12
132,1990,5,villeneuve,grouillard,1958-09-02,French,osella,15,,+5 Laps,0.0,13
133,1990,5,villeneuve,donnelly,1964-03-26,British,team_lotus,12,,Engine,0.0,14
134,1990,5,villeneuve,foitek,1965-03-27,Swiss,onyx,21,,Engine,0.0,15
135,1990,5,villeneuve,cesaris,1959-05-31,Italian,dallara,25,,Gearbox,0.0,16
136,1990,5,villeneuve,lehto,1966-01-31,Finnish,onyx,22,,Engine,0.0,17
137,1990,5,villeneuve,patrese,1954-04-17,Italian,williams,9,,Brakes,0.0,18
138,1990,5,villeneuve,alliot,1954-07-27,French,ligier,17,,Engine,0.0,19
139,1990,5,villeneuve,alesi,1964-06-11,French,tyrrell,8,,Spun off,0.0,20
140,1990,5,villeneuve,nannini,1959-07-07,Italian,benetton,4,,Spun off,0.0,21
141,1990,5,villeneuve,boutsen,1957-07-13,Belgian,williams,6,,Collision,0.0,22
142,1990,5,villeneuve,larini,1964-03-19,Italian,ligier,20,,Collision,0.0,23
143,1990,5,villeneuve,pirro,1962-01-12,Italian,dallara,19,,Collision,0.0,24
144,1990,5,villeneuve,alboreto,1956-12-23,Italian,arrows,14,,Collision,0.0,25
145,1990,5,villeneuve,martini,1961-04-23,Italian,minardi,16,,Spun off,0.0,26
146,1990,5,villeneuve,moreno,1959-02-11,Brazilian,eurobrun,0,,Did not qualify,0.0,27
147,1990,5,villeneuve,gugelmin,1963-04-20,Brazilian,leyton,0,,Did not qualify,0.0,28
148,1990,5,villeneuve,barilla,1961-04-20,Italian,minardi,0,,Did not qualify,0.0,29
149,1990,5,villeneuve,brabham,1965-09-05,Australian,brabham,0,,Did not qualify,0.0,30
150,1990,6,rodriguez,prost,1955-02-24,French,ferrari,13,5555783.0,Finished,9.0,1
151,1990,6,rodriguez,mansell,1953-08-08,British,ferrari,4,5581134.0,Finished,6.0,2
152,1990,6,rodriguez,berger,1959-08-27,Austrian,mclaren,1,5581313.0,Finished,4.0,3
153,1990,6,rodriguez,nannini,1959-07-07,Italian,benetton,14,5596882.0,Finished,3.0,4
154,1990,6,rodriguez,boutsen,1957-07-13,Belgian,williams,5,5602452.0,Finished,2.0,5
155,1990,6,rodriguez,piquet,1952-08-17,Brazilian,benetton,8,5602726.0,Finished,1.0,6
156,1990,6,rodriguez,alesi,1964-06-11,French,tyrrell,6,5604860.0,Finished,0.0,7
157,1990,6,rodriguez,donnelly,1964-03-26,British,team_lotus,12,5621925.0,Finished,0.0,8
158,1990,6,rodriguez,patrese,1954-04-17,Italian,williams,2,5625701.0,Finished,0.0,9
159,1990,6,rodriguez,warwick,1954-08-27,British,team_lotus,11,,+1 Lap,0.0,10
160,1990,6,rodriguez,modena,1963-05-12,Italian,brabham,10,,+1 Lap,0.0,11
161,1990,6,rodriguez,martini,1961-04-23,Italian,minardi,7,,+1 Lap,0.0,12
162,1990,6,rodriguez,cesaris,1959-05-31,Italian,dallara,15,,+1 Lap,0.0,13
163,1990,6,rodriguez,barilla,1961-04-20,Italian,minardi,16,,+2 Laps,0.0,14
164,1990,6,rodriguez,foitek,1965-03-27,Swiss,onyx,23,,+2 Laps,0.0,15
165,1990,6,rodriguez,larini,1964-03-19,Italian,ligier,24,,+2 Laps,0.0,16
166,1990,6,rodriguez,alboreto,1956-12-23,Italian,arrows,17,,+3 Laps,0.0,17
167,1990,6,rodriguez,alliot,1954-07-27,French,ligier,22,,+3 Laps,0.0,18
168,1990,6,rodriguez,grouillard,1958-09-02,French,osella,20,,+4 Laps,0.0,19
169,1990,6,rodriguez,senna,1960-03-21,Brazilian,mclaren,3,,Tyre,0.0,20
170,1990,6,rodriguez,lehto,1966-01-31,Finnish,onyx,26,,Engine,0.0,21
171,1990,6,rodriguez,bernard,1964-08-24,French,larrousse,25,,Brakes,0.0,22
172,1990,6,rodriguez,suzuki,1960-09-08,Japanese,larrousse,19,,Collision,0.0,23
173,1990,6,rodriguez,satoru_nakajima,1953-02-23,Japanese,tyrrell,9,,Collision,0.0,24
174,1990,6,rodriguez,brabham,1965-09-05,Australian,brabham,21,,Electrical,0.0,25
175,1990,6,rodriguez,pirro,1962-01-12,Italian,dallara,18,,Engine,0.0,26
176,1990,6,rodriguez,moreno,1959-02-11,Brazilian,eurobrun,0,,Disqualified,0.0,27
177,1990,6,rodriguez,capelli,1963-05-24,Italian,leyton,0,,Did not qualify,0.0,28
178,1990,6,rodriguez,gugelmin,1963-04-20,Brazilian,leyton,0,,Did not qualify,0.0,29
179,1990,6,rodriguez,caffi,1964-03-18,Italian,arrows,0,,Did not qualify,0.0,30
180,1990,7,ricard,prost,1955-02-24,French,ferrari,4,5609606.0,Finished,9.0,1
181,1990,7,ricard,capelli,1963-05-24,Italian,leyton,7,5618232.0,Finished,6.0,2
182,1990,7,ricard,senna,1960-03-21,Brazilian,mclaren,3,5621212.0,Finished,4.0,3
183,1990,7,ricard,piquet,1952-08-17,Brazilian,benetton,9,5650813.0,Finished,3.0,4
184,1990,7,ricard,berger,1959-08-27,Austrian,mclaren,2,5651825.0,Finished,2.0,5
185,1990,7,ricard,patrese,1954-04-17,Italian,williams,6,5678957.0,Finished,1.0,6
186,1990,7,ricard,suzuki,1960-09-08,Japanese,larrousse,14,,+1 Lap,0.0,7
187,1990,7,ricard,bernard,1964-08-24,French,larrousse,11,,+1 Lap,0.0,8
188,1990,7,ricard,alliot,1954-07-27,French,ligier,12,,+1 Lap,0.0,9
189,1990,7,ricard,alboreto,1956-12-23,Italian,arrows,18,,+1 Lap,0.0,10
190,1990,7,ricard,warwick,1954-08-27,British,team_lotus,16,,+1 Lap,0.0,11
191,1990,7,ricard,donnelly,1964-03-26,British,team_lotus,17,,+1 Lap,0.0,12
192,1990,7,ricard,modena,1963-05-12,Italian,brabham,20,,+2 Laps,0.0,13
193,1990,7,ricard,larini,1964-03-19,Italian,ligier,19,,+2 Laps,0.0,14
194,1990,7,ricard,brabham,1965-09-05,Australian,brabham,25,,+3 Laps,0.0,15
195,1990,7,ricard,nannini,1959-07-07,Italian,benetton,5,,Electrical,0.0,16
196,1990,7,ricard,dalmas,1961-07-28,French,ags,26,,+5 Laps,0.0,17
197,1990,7,ricard,mansell,1953-08-08,British,ferrari,1,,Engine,0.0,18
198,1990,7,ricard,cesaris,1959-05-31,Italian,dallara,21,,Disqualified,0.0,19
199,1990,7,ricard,satoru_nakajima,1953-02-23,Japanese,tyrrell,15,,Gearbox,0.0,20
200,1990,7,ricard,gugelmin,1963-04-20,Brazilian,leyton,10,,Engine,0.0,21
201,1990,7,ricard,martini,1961-04-23,Italian,minardi,23,,Electrical,0.0,22
202,1990,7,ricard,alesi,1964-06-11,French,tyrrell,13,,Differential,0.0,23
203,1990,7,ricard,caffi,1964-03-18,Italian,arrows,22,,Suspension,0.0,24
204,1990,7,ricard,boutsen,1957-07-13,Belgian,williams,8,,Engine,0.0,25
205,1990,7,ricard,pirro,1962-01-12,Italian,dallara,24,,Brakes,0.0,26
206,1990,7,ricard,barilla,1961-04-20,Italian,minardi,0,,Did not qualify,0.0,27
207,1990,7,ricard,tarquini,1962-03-02,Italian,ags,0,,Did not qualify,0.0,28
208,1990,7,ricard,foitek,1965-03-27,Swiss,onyx,0,,Did not qualify,0.0,29
209,1990,7,ricard,lehto,1966-01-31,Finnish,onyx,0,,Did not qualify,0.0,30
210,1990,8,silverstone,prost,1955-02-24,French,ferrari,5,4710999.0,Finished,9.0,1
211,1990,8,silverstone,boutsen,1957-07-13,Belgian,williams,4,4750091.0,Finished,6.0,2
212,1990,8,silverstone,senna,1960-03-21,Brazilian,mclaren,2,4754087.0,Finished,4.0,3
213,1990,8,silverstone,bernard,1964-08-24,French,larrousse,8,4786301.0,Finished,3.0,4
214,1990,8,silverstone,piquet,1952-08-17,Brazilian,benetton,11,4795002.0,Finished,2.0,5
215,1990,8,silverstone,suzuki,1960-09-08,Japanese,larrousse,9,,+1 Lap,1.0,6
216,1990,8,silverstone,caffi,1964-03-18,Italian,arrows,17,,+1 Lap,0.0,7
217,1990,8,silverstone,alesi,1964-06-11,French,tyrrell,6,,+1 Lap,0.0,8
218,1990,8,silverstone,modena,1963-05-12,Italian,brabham,20,,+2 Laps,0.0,9
219,1990,8,silverstone,larini,1964-03-19,Italian,ligier,21,,+2 Laps,0.0,10
220,1990,8,silverstone,pirro,1962-01-12,Italian,dallara,19,,+2 Laps,0.0,11
221,1990,8,silverstone,barilla,1961-04-20,Italian,minardi,24,,+2 Laps,0.0,12
222,1990,8,silverstone,alliot,1954-07-27,French,ligier,22,,+3 Laps,0.0,13
223,1990,8,silverstone,berger,1959-08-27,Austrian,mclaren,3,,Throttle,0.0,14
224,1990,8,silverstone,mansell,1953-08-08,British,ferrari,1,,Gearbox,0.0,15
225,1990,8,silverstone,capelli,1963-05-24,Italian,leyton,10,,Fuel leak,0.0,16
226,1990,8,silverstone,donnelly,1964-03-26,British,team_lotus,14,,Engine,0.0,17
227,1990,8,silverstone,warwick,1954-08-27,British,team_lotus,16,,Engine,0.0,18
228,1990,8,silverstone,tarquini,1962-03-02,Italian,ags,26,,Engine,0.0,19
229,1990,8,silverstone,alboreto,1956-12-23,Italian,arrows,25,,Engine,0.0,20
230,1990,8,silverstone,patrese,1954-04-17,Italian,williams,7,,Chassis,0.0,21
231,1990,8,silverstone,satoru_nakajima,1953-02-23,Japanese,tyrrell,12,,Electrical,0.0,22
232,1990,8,silverstone,nannini,1959-07-07,Italian,benetton,13,,Collision,0.0,23
233,1990,8,silverstone,cesaris,1959-05-31,Italian,dallara,23,,Fuel system,0.0,24
234,1990,8,silverstone,martini,1961-04-23,Italian,minardi,18,,Alternator,0.0,25
235,1990,8,silverstone,gugelmin,1963-04-20,Brazilian,leyton,15,,Fuel pump,0.0,26
236,1990,8,silverstone,grouillard,1958-09-02,French,osella,0,,Did not qualify,0.0,27
237,1990,8,silverstone,brabham,1965-09-05,Australian,brabham,0,,Did not qualify,0.0,28
238,1990,8,silverstone,lehto,1966-01-31,Finnish,onyx,0,,Did not qualify,0.0,29
239,1990,8,silverstone,foitek,1965-03-27,Swiss,onyx,0,,Did not qualify,0.0,30
240,1990,9,hockenheimring,senna,1960-03-21,Brazilian,mclaren,1,4847164.0,Finished,9.0,1
241,1990,9,hockenheimring,nannini,1959-07-07,Italian,benetton,9,4853684.0,Finished,6.0,2
242,1990,9,hockenheimring,berger,1959-08-27,Austrian,mclaren,2,4855717.0,Finished,4.0,3
243,1990,9,hockenheimring,prost,1955-02-24,French,ferrari,3,4892434.0,Finished,3.0,4
244,1990,9,hockenheimring,patrese,1954-04-17,Italian,williams,5,4895192.0,Finished,2.0,5
245,1990,9,hockenheimring,boutsen,1957-07-13,Belgian,williams,6,4928655.0,Finished,1.0,6
246,1990,9,hockenheimring,capelli,1963-05-24,Italian,leyton,10,,+1 Lap,0.0,7
247,1990,9,hockenheimring,warwick,1954-08-27,British,team_lotus,16,,+1 Lap,0.0,8
248,1990,9,hockenheimring,caffi,1964-03-18,Italian,arrows,18,,+1 Lap,0.0,9
249,1990,9,hockenheimring,larini,1964-03-19,Italian,ligier,22,,+2 Laps,0.0,10
250,1990,9,hockenheimring,alesi,1964-06-11,French,tyrrell,8,,Transmission,0.0,11
251,1990,9,hockenheimring,lehto,1966-01-31,Finnish,onyx,25,,Not classified,0.0,12
252,1990,9,hockenheimring,bernard,1964-08-24,French,larrousse,12,,Fuel pump,0.0,13
253,1990,9,hockenheimring,suzuki,1960-09-08,Japanese,larrousse,11,,Clutch,0.0,14
254,1990,9,hockenheimring,satoru_nakajima,1953-02-23,Japanese,tyrrell,13,,Engine,0.0,15
255,1990,9,hockenheimring,piquet,1952-08-17,Brazilian,benetton,7,,Engine,0.0,16
256,1990,9,hockenheimring,martini,1961-04-23,Italian,minardi,15,,Engine,0.0,17
257,1990,9,hockenheimring,foitek,1965-03-27,Swiss,onyx,26,,Spun off,0.0,18
258,1990,9,hockenheimring,mansell,1953-08-08,British,ferrari,4,,Broken wing,0.0,19
259,1990,9,hockenheimring,gugelmin,1963-04-20,Brazilian,leyton,14,,Engine,0.0,20
260,1990,9,hockenheimring,brabham,1965-09-05,Australian,brabham,21,,Engine,0.0,21
261,1990,9,hockenheimring,alboreto,1956-12-23,Italian,arrows,19,,Engine,0.0,22
262,1990,9,hockenheimring,donnelly,1964-03-26,British,team_lotus,20,,Clutch,0.0,23
263,1990,9,hockenheimring,modena,1963-05-12,Italian,brabham,17,,Clutch,0.0,24
264,1990,9,hockenheimring,pirro,1962-01-12,Italian,dallara,23,,Collision,0.0,25
265,1990,9,hockenheimring,alliot,1954-07-27,French,ligier,24,,Disqualified,0.0,26
266,1990,9,hockenheimring,grouillard,1958-09-02,French,osella,0,,Did not qualify,0.0,27
267,1990,9,hockenheimring,barilla,1961-04-20,Italian,minardi,0,,Did not qualify,0.0,28
268,1990,9,hockenheimring,dalmas,1961-07-28,French,ags,0,,Did not qualify,0.0,29
269,1990,9,hockenheimring,cesaris,1959-05-31,Italian,dallara,0,,Did not qualify,0.0,30
270,1990,10,hungaroring,boutsen,1957-07-13,Belgian,williams,1,6570597.0,Finished,9.0,1
271,1990,10,hungaroring,senna,1960-03-21,Brazilian,mclaren,4,6570885.0,Finished,6.0,2
272,1990,10,hungaroring,piquet,1952-08-17,Brazilian,benetton,9,6598490.0,Finished,4.0,3
273,1990,10,hungaroring,patrese,1954-04-17,Italian,williams,2,6602430.0,Finished,3.0,4
274,1990,10,hungaroring,warwick,1954-08-27,British,team_lotus,11,6644841.0,Finished,2.0,5
275,1990,10,hungaroring,bernard,1964-08-24,French,larrousse,12,6654905.0,Finished,1.0,6
276,1990,10,hungaroring,donnelly,1964-03-26,British,team_lotus,18,,+1 Lap,0.0,7
277,1990,10,hungaroring,gugelmin,1963-04-20,Brazilian,leyton,17,,+1 Lap,0.0,8
278,1990,10,hungaroring,caffi,1964-03-18,Italian,arrows,26,,+1 Lap,0.0,9
279,1990,10,hungaroring,pirro,1962-01-12,Italian,dallara,13,,+1 Lap,0.0,10
280,1990,10,hungaroring,larini,1964-03-19,Italian,ligier,25,,+1 Lap,0.0,11
281,1990,10,hungaroring,alboreto,1956-12-23,Italian,arrows,22,,+2 Laps,0.0,12
282,1990,10,hungaroring,tarquini,1962-03-02,Italian,ags,24,,+3 Laps,0.0,13
283,1990,10,hungaroring,alliot,1954-07-27,French,ligier,21,,+3 Laps,0.0,14
284,1990,10,hungaroring,barilla,1961-04-20,Italian,minardi,23,,+3 Laps,0.0,15
285,1990,10,hungaroring,berger,1959-08-27,Austrian,mclaren,3,,Collision,0.0,16
286,1990,10,hungaroring,mansell,1953-08-08,British,ferrari,5,,Collision,0.0,17
287,1990,10,hungaroring,nannini,1959-07-07,Italian,benetton,7,,Collision,0.0,18
288,1990,10,hungaroring,capelli,1963-05-24,Italian,leyton,16,,Gearbox,0.0,19
289,1990,10,hungaroring,suzuki,1960-09-08,Japanese,larrousse,19,,Engine,0.0,20
290,1990,10,hungaroring,prost,1955-02-24,French,ferrari,8,,Gearbox,0.0,21
291,1990,10,hungaroring,alesi,1964-06-11,French,tyrrell,6,,Collision,0.0,22
292,1990,10,hungaroring,modena,1963-05-12,Italian,brabham,20,,Engine,0.0,23
293,1990,10,hungaroring,martini,1961-04-23,Italian,minardi,14,,Collision,0.0,24
294,1990,10,hungaroring,cesaris,1959-05-31,Italian,dallara,10,,Engine,0.0,25
295,1990,10,hungaroring,satoru_nakajima,1953-02-23,Japanese,tyrrell,15,,Brakes,0.0,26
296,1990,10,hungaroring,dalmas,1961-07-28,French,ags,0,,Did not qualify,0.0,27
